"id","gender","overallei_allitems","perceptions","own","others","utilization","sincerity","fairness","greedavoidance","modesty","fearfulness","anxiety","dependence","sentimentality","socialselfesteem","socialboldness","sociability","liveliness","forgiveness","gentleness","flexibility","patience","organization","diligence","perfectionism","prudence","aestheticappreciation","inquisitiveness","creativity","unconventionality"
1308,"female",3.24242424242424,4,3.44444444444444,3.875,3.5,4.375,4.625,4.875,4.375,3.625,4.375,3.875,4.75,3.75,2,3,3.125,3.25,4,3.75,4.375,3.5,3,2.25,3.75,4,3.625,2.75,4.375
1018,"female",3.42424242424242,4.6,3.66666666666667,4.375,4.83333333333333,3.625,4.75,3.125,3.875,3.5,3.625,3.75,4.75,3.5,4,3.75,4.125,2.75,2.75,2.625,2.875,3.875,4.125,3,3.125,3.75,3.625,3.75,3.5
1125,"female",3.06060606060606,4.1,3.66666666666667,3.75,3.16666666666667,3.875,4.25,2.25,3,2.625,2.75,2.875,3.75,4.25,2.375,3.25,3.625,3.25,3.75,3.375,3.125,4.125,3.375,3.625,3.75,3.125,2.25,2.875,3
1004,"male",3.36363636363636,3.7,3.88888888888889,3.75,3.5,3.625,4,3.5,3.75,2.125,2.25,2.875,2.75,4.375,4.125,4,4.125,3.875,3.625,3.5,3.5,4,3.875,3.5,3.875,4.25,4,3.75,3.25
623,"female",3.12121212121212,4.1,4.33333333333333,3.875,3.33333333333333,3.625,4,3.375,4,3.375,2.875,3.375,4.125,4,2.75,3.375,4,2.75,2.875,3.25,3.375,3.625,3,3.25,3.125,3.625,3.875,4.125,3.5
905,"female",3.36363636363636,4,3.88888888888889,4.5,3.66666666666667,2.375,4.375,2.625,3,3.375,3.75,4,4,4.125,4.125,3.875,4,3.875,3,2.625,2.625,3,4,3.5,3.5,3.25,3.25,4.25,3.5
645,"male",3.18181818181818,3.5,3.77777777777778,3.75,3.66666666666667,3.625,4.125,3.375,3.375,3.625,3.75,3.75,4,4,3.5,3.375,3.5,3.875,3.375,3.25,3.125,3.875,4,3.875,3.375,2.5,3,2.875,2.375
934,"male",3.51515151515152,4.7,4.44444444444444,4,3.83333333333333,3.5,4.75,2.5,2.625,3.625,3.125,3.625,3.75,4.5,4,4,4.5,4.125,3.625,3.125,4.5,2.375,3.375,3.5,3.875,3.75,3.25,3.25,2.75
400,"female",3.51515151515152,4.3,3.55555555555556,4.25,3.83333333333333,3.75,4.5,3.625,4.125,2.75,3.25,2.625,3.75,4.375,3.875,4.625,4.5,3.625,4.125,3.625,4.5,3.75,4.125,4.5,4.75,2.75,3.625,2.875,4.125
900,"male",2.93939393939394,3.4,4.11111111111111,3.375,3.5,3.625,5,4,3.5,2.625,3.625,3.625,4.125,4.125,4.125,2.875,3.75,2.75,1.75,2.75,2.25,4.5,4.625,3.875,3.875,3.375,3.875,4,3
98,"male",3.09090909090909,3.7,3.77777777777778,3.125,3.66666666666667,4.625,5,2.875,4,3,3.375,2.5,3,4,4,2.625,3.125,2.125,2.125,3.125,3,3.75,4.375,4,3.875,3.875,3.875,3.5,3
1127,"female",3.27272727272727,4.3,4.11111111111111,4.125,4.5,3.625,5,2.875,4.5,3.875,3.75,2.5,3.125,4.375,3.75,4.375,3.625,2.125,3.375,3,2.375,4.75,4.5,4.5,4.125,4.375,4.75,3.25,3.375
726,"male",3.24242424242424,3.8,4.22222222222222,3.5,3.5,3.125,4,3.5,3.125,1.875,4,2.875,2.875,4.625,3.625,2.875,4.625,2.5,3.5,2.625,2.875,4.125,4.75,2.625,2.5,3,4,3.25,3.25
326,"male",3.51515151515152,4.3,4.55555555555556,4,4.33333333333333,3.875,2.75,4.125,3.625,1.25,2.125,3.125,2.75,4.5,4.25,3.125,4,3.375,2.625,2.875,3.625,3.75,4.375,3.25,3.625,3.25,4.5,4.25,3.875
1103,"female",3.21212121212121,4.5,4.33333333333333,4.125,4.16666666666667,3.75,3.5,3.375,3.375,2.125,2,2.5,3.375,4.5,4.125,3.75,4.25,2.875,2.625,3.625,3.75,3,3.625,3.5,3.375,4.5,4.5,3.75,3.75
884,"female",3.33333333333333,4,3.88888888888889,3.75,4.16666666666667,3.125,4.125,3.75,4.125,2.625,2.375,2.875,3.875,4.125,3.5,2.625,3.75,2.875,4,3.625,3.125,2.5,3.5,2.625,3.625,3.875,3.875,3.875,4
270,"female",2.84848484848485,3.4,3.33333333333333,3.125,3.5,2.625,4.25,3.5,4.5,3.875,3.875,2.75,3.5,4.125,3,3.75,3.625,2.75,2.875,3.625,3.125,3.625,3,2.5,3.25,3.25,3,2.625,3.125
184,"male",3.24242424242424,2.6,4.11111111111111,3.125,3.5,3.5,4.375,3.875,3.375,2.5,2.875,3.375,3.5,4.5,3.5,2.25,3.625,2,2.75,2.625,3.125,3.875,4.125,3,4.25,2.125,3.75,2.25,2.625
574,"female",3.27272727272727,4.8,4.88888888888889,3.75,3.66666666666667,3.75,4.5,3.625,4.375,2.625,1.75,2.25,3.625,4.875,3.875,3.5,3.75,4,3.375,3.875,4.375,2.875,4,3,4.75,3.25,3.75,4,3.875
4,"female",3.42424242424242,4.5,4.55555555555556,4,3.16666666666667,4,4.125,4.375,4.375,2.375,2.25,2.5,3.875,3.75,4,2.75,4.5,2,3.5,2.875,3.875,2.875,4.625,4.5,2.875,3.875,3.5,3.125,3.5
552,"male",3.33333333333333,4.5,4.22222222222222,3.375,3.33333333333333,3.75,5,4.125,4,1.75,2.5,1.5,2.875,3.5,3.25,2.125,4,4,3.375,2.625,4.5,5,4.25,3.875,4,3.875,3.75,4,4.125
1236,"female",3.39393939393939,4.4,4.33333333333333,4.125,3,3.875,4.75,3.375,4.25,3.5,3,3.25,3.75,4.625,3.5,4.125,4.125,2.625,3.375,3.5,4,2.5,3.5,3.125,3.875,4.375,3.75,4,3.25
952,"female",3.09090909090909,4,3.77777777777778,3.875,3.16666666666667,3.125,3.5,2.75,3.375,3.5,2.5,2.375,3.5,4,3.75,3,3.625,2.5,2.875,2.875,3.375,3.5,4,3.625,3.625,3.125,3.5,3.75,3.75
1219,"female",3.36363636363636,4.1,3.44444444444444,3.875,4.33333333333333,4.125,3.5,3.625,3.875,2.875,3.75,3.875,4.125,3.125,2.5,2.625,2.75,2.375,3.375,1.875,2.125,3.25,2.875,3.75,3.375,4.375,4.375,3.5,4.375
996,"female",3.24242424242424,4.2,4.66666666666667,3.875,3.66666666666667,4,4.75,3.125,3.5,2.375,2.75,2.375,3.375,4.5,4,3.25,4.25,3.625,3.125,3.75,3.875,4.375,4.125,4,3.875,4.5,3.75,4.125,3.75
479,"male",3.09090909090909,4,3.66666666666667,3.5,3.83333333333333,3.375,4,3.375,3.625,2.75,2.625,2.25,3.125,4.125,4,3.75,3.75,2,2.75,2.25,3.25,4.125,4.25,3.5,4.25,3.75,4.375,4.25,4
634,"male",3.09090909090909,4.6,3.66666666666667,4.125,3.33333333333333,4.5,4.25,4.125,3,3.375,4,2.875,2.875,4.75,3.75,2.125,3.875,3.625,2.25,3.75,3.125,4.25,4.25,3.125,4.25,4,3.875,4.375,4.625
901,"male",3.15151515151515,4.1,4,3.625,4,3.25,3.875,3.125,3.625,2.25,2.625,2.625,3.875,4,3.875,3,4,3.25,2.625,3,2.875,3.125,3.875,3.75,3.375,4.25,4.375,4,3.875
