"order","id","factor","facet_label"
1,"sincerity","honestyhumility","Sincerity"
2,"fairness","honestyhumility","Fairness"
3,"greedavoidance","honestyhumility","Greed-Avoidance"
4,"modesty","honestyhumility","Modesty"
5,"fearfulness","emotionality","Fearfulness"
6,"anxiety","emotionality","Anxiety"
7,"dependence","emotionality","Dependence"
8,"sentimentality","emotionality","Sentimentality"
9,"socialselfesteem","extraversion","Social Self-Esteem"
10,"socialboldness","extraversion","Social Boldness"
11,"sociability","extraversion","Sociability"
12,"liveliness","extraversion","Liveliness"
13,"forgiveness","agreeableness","Forgiveness"
14,"gentleness","agreeableness","Gentleness"
15,"flexibility","agreeableness","Flexibility"
16,"patience","agreeableness","Patience"
17,"organization","conscientiousness","Organization"
18,"diligence","conscientiousness","Diligence"
19,"perfectionism","conscientiousness","Perfectionism"
20,"prudence","conscientiousness","Prudence"
21,"aestheticappreciation","openness","Aesthetic Appreciation"
22,"inquisitiveness","openness","Inquisitiveness"
23,"creativity","openness","Creativity"
24,"unconventionality","openness","Unconventionality"
